id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,8,ra_wr_s_p,5,Wrist Pro/Sup,75.99,1.43,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
2,1,8,ra_wr_s_p,5,Wrist Pro/Sup,67.89,1.53,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
3,1,8,ra_wr_s_p,5,Wrist Pro/Sup,59.64,1.53,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
4,1,8,ra_wr_s_p,5,Wrist Pro/Sup,51.99,1.49,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
5,1,8,ra_wr_s_p,5,Wrist Pro/Sup,44.07,1.46,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
6,1,8,ra_wr_s_p,5,Wrist Pro/Sup,36.15,1.39,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
7,1,8,ra_wr_s_p,5,Wrist Pro/Sup,28.23,1.27,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
8,1,8,ra_wr_s_p,5,Wrist Pro/Sup,20.25,1.14,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
9,1,8,ra_wr_s_p,5,Wrist Pro/Sup,12.38,1.01,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
10,1,8,ra_wr_s_p,5,Wrist Pro/Sup,4.46,0.89,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
11,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-3.46,0.68,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
12,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-11.38,0.49,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
13,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-19.3,0.22,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
14,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-27.22,-0.1,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
15,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-34.63,-0.4,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
16,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-43.33,-0.85,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
17,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-50.98,-1.31,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
18,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-59.85,-2.01,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
19,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-68.29,-2.7,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
20,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-76.49,-3.51,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
21,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-84.13,-4.39,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
22,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-89.21,-5.06,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
23,2,8,ra_wr_s_p,5,Wrist Pro/Sup,76.03,-0.35,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
24,2,8,ra_wr_s_p,5,Wrist Pro/Sup,68.18,0.49,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
25,2,8,ra_wr_s_p,5,Wrist Pro/Sup,60.25,1.04,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
26,2,8,ra_wr_s_p,5,Wrist Pro/Sup,52.33,1.36,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
27,2,8,ra_wr_s_p,5,Wrist Pro/Sup,44.41,1.46,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
28,2,8,ra_wr_s_p,5,Wrist Pro/Sup,36.49,1.43,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
29,2,8,ra_wr_s_p,5,Wrist Pro/Sup,28.57,1.36,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
30,2,8,ra_wr_s_p,5,Wrist Pro/Sup,20.65,1.23,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
31,2,8,ra_wr_s_p,5,Wrist Pro/Sup,12.73,1.12,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
32,2,8,ra_wr_s_p,5,Wrist Pro/Sup,4.81,0.93,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
33,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-3.11,0.78,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
34,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-11.03,0.52,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
35,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-19.06,0.22,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
36,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-26.87,-0.04,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
37,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-34.56,-0.37,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
38,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-42.9,-0.79,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
39,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-50.64,-1.15,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
40,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-59.34,-1.54,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
41,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-66.81,-2,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
42,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-74.57,-2.57,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
43,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-82.71,-3.39,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
44,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-88.35,-4.11,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
45,3,8,ra_wr_s_p,5,Wrist Pro/Sup,75.93,0.21,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
46,3,8,ra_wr_s_p,5,Wrist Pro/Sup,68.18,0.68,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
47,3,8,ra_wr_s_p,5,Wrist Pro/Sup,60.22,1.07,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
48,3,8,ra_wr_s_p,5,Wrist Pro/Sup,52.33,1.45,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
49,3,8,ra_wr_s_p,5,Wrist Pro/Sup,44.41,1.6,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
50,3,8,ra_wr_s_p,5,Wrist Pro/Sup,36.49,1.69,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
51,3,8,ra_wr_s_p,5,Wrist Pro/Sup,28.57,1.61,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
52,3,8,ra_wr_s_p,5,Wrist Pro/Sup,20.99,1.51,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
53,3,8,ra_wr_s_p,5,Wrist Pro/Sup,12.49,1.31,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
54,3,8,ra_wr_s_p,5,Wrist Pro/Sup,4.81,1.09,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
55,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-3.11,0.88,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
56,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-11.03,0.7,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
57,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-18.95,0.52,0,0 0 0 0 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
