id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-80,-6.05,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
2,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-70,-6.61,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
3,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-60,-7.48,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
4,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-50,-8.27,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
5,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-40,-8.91,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
6,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-30,-9.4,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
7,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-20,-9.78,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
8,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-10,-10.2,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
9,1,8,ra_wr_s_p,5,Wrist Pro/Sup,0,-10.71,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
10,1,8,ra_wr_s_p,5,Wrist Pro/Sup,10,-11.27,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
11,1,8,ra_wr_s_p,5,Wrist Pro/Sup,20,-11.99,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
12,1,8,ra_wr_s_p,5,Wrist Pro/Sup,30,-12.7,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
13,1,8,ra_wr_s_p,5,Wrist Pro/Sup,40,-13.42,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
14,1,8,ra_wr_s_p,5,Wrist Pro/Sup,50,-13.93,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
15,1,8,ra_wr_s_p,5,Wrist Pro/Sup,60,-13.94,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
16,1,8,ra_wr_s_p,5,Wrist Pro/Sup,70,-13.13,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
17,1,8,ra_wr_s_p,5,Wrist Pro/Sup,80,-11.21,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
18,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-80,-0.43,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
19,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-70,-1.65,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
