id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,9,ra_wr_e_f,7,Wrist F/E,40,-11.77,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
2,1,9,ra_wr_e_f,7,Wrist F/E,30,-11.87,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
3,1,9,ra_wr_e_f,7,Wrist F/E,20,-12.54,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
4,1,9,ra_wr_e_f,7,Wrist F/E,10,-13.64,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
5,1,9,ra_wr_e_f,7,Wrist F/E,0,-15,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
6,1,9,ra_wr_e_f,7,Wrist F/E,-10,-16.35,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
7,1,9,ra_wr_e_f,7,Wrist F/E,-20,-17.38,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
8,1,9,ra_wr_e_f,7,Wrist F/E,-30,-17.73,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
9,1,9,ra_wr_e_f,7,Wrist F/E,-40,-16.95,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
10,2,9,ra_wr_e_f,7,Wrist F/E,40,-11.63,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
11,2,9,ra_wr_e_f,7,Wrist F/E,30,-12.58,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
12,2,9,ra_wr_e_f,7,Wrist F/E,20,-13.42,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
