id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,9,ra_wr_e_f,7,Wrist F/E,-60,-14.8,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
2,1,9,ra_wr_e_f,7,Wrist F/E,-40,-14.6,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
3,1,9,ra_wr_e_f,7,Wrist F/E,-20,-14.5,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
4,1,9,ra_wr_e_f,7,Wrist F/E,0,-14,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
5,1,9,ra_wr_e_f,7,Wrist F/E,20,-13.5,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
6,1,9,ra_wr_e_f,7,Wrist F/E,40,-13,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
7,1,9,ra_wr_e_f,7,Wrist F/E,60,-12.5,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
11,1,14,ra_mcp2_e_f,12,D2 MCP,10,-9,0,0 0 0 90 0 0 0  25 20 0 0 NaN 11 27 10 11 27 10 11 27 10 11 27,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
14,1,14,ra_mcp2_e_f,12,D2 MCP,40,-8,0,0 0 0 90 0 0 0  25 20 0 0 NaN 81 15 40 81 15 40 81 15 40 81 15,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
17,1,14,ra_mcp2_e_f,12,D2 MCP,70,-7,0,0 0 0 90 0 0 0  25 20 0 0 NaN 111 61 70 111 61 70 111 61 70 111 61,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
18,1,15,ra_pip2_e_f,13,D2 PIP,10,-4,0,0 0 0 90 0 0 0  25 20 0 0 10 NaN 27 10 11 27 10 11 27 10 11 27,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
25,1,15,ra_pip2_e_f,13,D2 PIP,80,-6,0,0 0 0 90 0 0 0  25 20 0 0 40 NaN 15 40 81 15 40 81 15 40 81 15,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
28,1,15,ra_pip2_e_f,13,D2 PIP,110,-4,0,0 0 0 90 0 0 0  25 20 0 0 70 NaN 61 70 111 61 70 111 61 70 111 61,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
30,1,16,ra_dip2_e_f,14,D2 DIP,10,-3.6,0,0 0 0 90 0 0 0  25 20 0 0 40 81 NaN 40 81 15 40 81 15 40 81 15,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
32,1,16,ra_dip2_e_f,14,D2 DIP,30,-3,0,0 0 0 90 0 0 0  25 20 0 0 10 11 NaN 10 11 27 10 11 27 10 11 27,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
35,1,16,ra_dip2_e_f,14,D2 DIP,60,-1.5,0,0 0 0 90 0 0 0  25 20 0 0 70 111 NaN 70 111 61 70 111 61 70 111 61,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
