id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,11,ra_cmc1_f_e,8,D1 CMC F/E,0,-3.8,4.8,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
2,1,11,ra_cmc1_f_e,8,D1 CMC F/E,5,-4.1,3.9,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
3,1,11,ra_cmc1_f_e,8,D1 CMC F/E,10,-4.2,3.4,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
4,1,11,ra_cmc1_f_e,8,D1 CMC F/E,15,-4.1,3.1,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
5,1,11,ra_cmc1_f_e,8,D1 CMC F/E,20,-3.9,3.1,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
6,1,11,ra_cmc1_f_e,8,D1 CMC F/E,25,-3.6,3.2,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
7,1,11,ra_cmc1_f_e,8,D1 CMC F/E,30,-3.1,3.4,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
8,1,11,ra_cmc1_f_e,8,D1 CMC F/E,35,-2.9,3.8,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
9,1,11,ra_cmc1_f_e,8,D1 CMC F/E,40,-2.3,3.9,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
10,1,11,ra_cmc1_f_e,8,D1 CMC F/E,45,-1.6,4.4,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
