id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-90,4.57,1.765,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
2,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-80,4.1,1.74,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
3,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-70,3.36,1.67,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
4,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-60,2.33,0.74,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
5,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-50,1.73,0.925,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
6,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-40,2,1.37,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
7,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-30,2.05,1.625,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
8,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-20,2,1.74,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
9,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-10,2.04,2.04,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
10,1,8,ra_wr_s_p,5,Wrist Pro/Sup,0,2.09,2.02,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
11,1,8,ra_wr_s_p,5,Wrist Pro/Sup,10,1.9,1.72,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
12,1,8,ra_wr_s_p,5,Wrist Pro/Sup,20,1.76,1.415,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
13,1,8,ra_wr_s_p,5,Wrist Pro/Sup,30,1.61,1.275,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
14,1,8,ra_wr_s_p,5,Wrist Pro/Sup,40,1.33,1.39,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
15,1,8,ra_wr_s_p,5,Wrist Pro/Sup,50,0.82,1.3,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
16,1,8,ra_wr_s_p,5,Wrist Pro/Sup,60,0.12,1.88,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
17,1,8,ra_wr_s_p,5,Wrist Pro/Sup,70,-1.18,2.69,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
18,1,8,ra_wr_s_p,5,Wrist Pro/Sup,80,-2.62,3.855,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
19,1,8,ra_wr_s_p,5,Wrist Pro/Sup,90,-6.57,4.805,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
20,1,9,ra_wr_e_f,7,Wrist F/E,40,-3.32,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
21,1,9,ra_wr_e_f,7,Wrist F/E,30,-5.28,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
22,1,9,ra_wr_e_f,7,Wrist F/E,20,-6.68,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
23,1,9,ra_wr_e_f,7,Wrist F/E,10,-7.52,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
24,1,9,ra_wr_e_f,7,Wrist F/E,0,-7.8,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
25,1,9,ra_wr_e_f,7,Wrist F/E,-10,-7.52,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
26,1,9,ra_wr_e_f,7,Wrist F/E,-20,-6.68,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
27,1,9,ra_wr_e_f,7,Wrist F/E,-30,-5.28,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
28,1,9,ra_wr_e_f,7,Wrist F/E,-40,-3.32,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
29,2,9,ra_wr_e_f,7,Wrist F/E,40,-4.1,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
30,2,9,ra_wr_e_f,7,Wrist F/E,30,-5.32,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
