id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,9,ra_wr_e_f,7,Wrist F/E,-60,-18,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
2,1,9,ra_wr_e_f,7,Wrist F/E,-40,-17,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
3,1,9,ra_wr_e_f,7,Wrist F/E,-20,-16,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
4,1,9,ra_wr_e_f,7,Wrist F/E,0,-15.5,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
5,1,9,ra_wr_e_f,7,Wrist F/E,20,-15,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
6,1,9,ra_wr_e_f,7,Wrist F/E,40,-14.5,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
7,1,9,ra_wr_e_f,7,Wrist F/E,60,-14,0,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
8,1,20,ra_mcp4_e_f,18,D4 MCP,-20,-4.8,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
9,1,20,ra_mcp4_e_f,18,D4 MCP,-10,-4.4,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
10,1,20,ra_mcp4_e_f,18,D4 MCP,0,-4.7,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
11,1,20,ra_mcp4_e_f,18,D4 MCP,10,-5.1,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
12,1,20,ra_mcp4_e_f,18,D4 MCP,20,-5.3,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
13,1,20,ra_mcp4_e_f,18,D4 MCP,30,-5.6,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
14,1,20,ra_mcp4_e_f,18,D4 MCP,40,-5.9,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
15,1,20,ra_mcp4_e_f,18,D4 MCP,50,-6.2,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
16,1,20,ra_mcp4_e_f,18,D4 MCP,60,-6.1,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
17,1,20,ra_mcp4_e_f,18,D4 MCP,70,-5.7,0,0 0 0 90 0 0 0  25 20 0 0 0 0 0 0 0 0 0 0 0 NaN 0 0,Koh S et al. 2006. Intrinsic Muscle Contribution to the Metacarpophalangeal Joint Flexion Moment of the Middle Ring and Small Fingers. Journal of Hand Surgery.
