id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,8,ra_wr_s_p,5,Wrist Pro/Sup,75.85,0.58,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
2,1,8,ra_wr_s_p,5,Wrist Pro/Sup,67.94,0.98,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
3,1,8,ra_wr_s_p,5,Wrist Pro/Sup,59.82,1.15,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
4,1,8,ra_wr_s_p,5,Wrist Pro/Sup,52.11,1.22,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
5,1,8,ra_wr_s_p,5,Wrist Pro/Sup,43.97,1.18,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
6,1,8,ra_wr_s_p,5,Wrist Pro/Sup,35.72,1.15,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
7,1,8,ra_wr_s_p,5,Wrist Pro/Sup,27.98,1.1,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
8,1,8,ra_wr_s_p,5,Wrist Pro/Sup,20.05,0.99,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
9,1,8,ra_wr_s_p,5,Wrist Pro/Sup,12.13,0.9,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
10,1,8,ra_wr_s_p,5,Wrist Pro/Sup,4.2,0.7,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
11,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-3.73,0.51,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
12,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-11.65,0.24,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
13,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-19.58,-0.06,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
14,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-27.51,-0.34,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
15,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-35.43,-0.6,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
16,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-43.36,-0.86,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
17,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-51.28,-1.22,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
18,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-59.21,-1.58,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
19,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-67.14,-1.95,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
20,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-75.06,-2.21,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
21,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-82.83,-2.33,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
22,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-88.42,-2.28,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
23,2,8,ra_wr_s_p,5,Wrist Pro/Sup,75.88,0.82,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
24,2,8,ra_wr_s_p,5,Wrist Pro/Sup,68.24,1.13,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
25,2,8,ra_wr_s_p,5,Wrist Pro/Sup,60.37,1.4,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
26,2,8,ra_wr_s_p,5,Wrist Pro/Sup,50.89,1.56,0,0 0 0 45 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
