id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,8,ra_wr_s_p,5,Wrist Pro/Sup,75.86,-0.19,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
2,1,8,ra_wr_s_p,5,Wrist Pro/Sup,66.49,1.2,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
3,1,8,ra_wr_s_p,5,Wrist Pro/Sup,57.85,2.75,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
4,1,8,ra_wr_s_p,5,Wrist Pro/Sup,49.21,4.27,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
5,1,8,ra_wr_s_p,5,Wrist Pro/Sup,41.09,5.58,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
6,1,8,ra_wr_s_p,5,Wrist Pro/Sup,32.63,6.71,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
7,1,8,ra_wr_s_p,5,Wrist Pro/Sup,23.71,7.62,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
8,1,8,ra_wr_s_p,5,Wrist Pro/Sup,15.02,8.22,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
9,1,8,ra_wr_s_p,5,Wrist Pro/Sup,6.23,8.53,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
10,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-3.4,8.73,0,0 0 0 90 NaN 0 0 25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
