id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-90,3.43,1.655,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
2,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-80,2.86,1.04,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
3,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-70,2.57,0.87,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
4,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-60,2.52,1.395,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
5,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-50,2.14,1.705,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
6,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-40,1.95,1.89,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
7,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-30,2.09,1.865,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
8,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-20,1.66,2.175,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
9,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-10,1.8,1.89,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
10,1,8,ra_wr_s_p,5,Wrist Pro/Sup,0,1.27,2.105,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
11,1,8,ra_wr_s_p,5,Wrist Pro/Sup,10,1.22,1.985,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
12,1,8,ra_wr_s_p,5,Wrist Pro/Sup,20,0.61,2.15,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
13,1,8,ra_wr_s_p,5,Wrist Pro/Sup,30,0.18,2.08,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
14,1,8,ra_wr_s_p,5,Wrist Pro/Sup,40,-0.3,1.825,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
15,1,8,ra_wr_s_p,5,Wrist Pro/Sup,50,-1.39,1.94,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
16,1,8,ra_wr_s_p,5,Wrist Pro/Sup,60,-1.86,1.515,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
17,1,8,ra_wr_s_p,5,Wrist Pro/Sup,70,-2.81,1.845,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
18,1,8,ra_wr_s_p,5,Wrist Pro/Sup,80,-4.52,2.86,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
19,1,8,ra_wr_s_p,5,Wrist Pro/Sup,90,-6.17,2.27,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Haugstvedt J R et al. 2001. A mechanical study of the moment-forces of the supinators and pronators of the forearm. Acta Orthopaedica Scandinavica.
20,1,9,ra_wr_e_f,7,Wrist F/E,40,15.2,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
21,1,9,ra_wr_e_f,7,Wrist F/E,30,14.65,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
22,1,9,ra_wr_e_f,7,Wrist F/E,20,14.1,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
23,1,9,ra_wr_e_f,7,Wrist F/E,10,13.55,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
24,1,9,ra_wr_e_f,7,Wrist F/E,0,13,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
25,1,9,ra_wr_e_f,7,Wrist F/E,-10,12.45,0,0 0 0 90 -90 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Loren et al. 1996. Human wrist motors: Biomechanical design and application to tendon transfers. Journal of Biomechanics https://doi.org/10.1016/0021-9290(95)00055-0
