id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,9,ra_wr_e_f,7,Wrist F/E,-60,11.3,0.25,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
2,1,9,ra_wr_e_f,7,Wrist F/E,-40,10.9,0.5,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
3,1,9,ra_wr_e_f,7,Wrist F/E,-20,11.7,0.75,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
4,1,9,ra_wr_e_f,7,Wrist F/E,0,13.8,1,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
5,1,9,ra_wr_e_f,7,Wrist F/E,20,19,1,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
6,1,9,ra_wr_e_f,7,Wrist F/E,40,22,1,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
7,1,9,ra_wr_e_f,7,Wrist F/E,60,22.5,1,0 0 0 90 0 0 NaN  25 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Gonzalez et al. 1997. How Muscle Architecture and Wrist Flexion-Extension Moment Arms Affect Moments. Journal of Biomechanics.
11,1,14,ra_mcp2_e_f,12,D2 MCP,10,9.37,0,0 0 0 90 0 0 0  25 20 0 0 NaN 11 27 10 11 27 10 11 27 10 11 27,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
14,1,14,ra_mcp2_e_f,12,D2 MCP,40,11.84,0,0 0 0 90 0 0 0  25 20 0 0 NaN 81 15 40 81 15 40 81 15 40 81 15,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
17,1,14,ra_mcp2_e_f,12,D2 MCP,70,11.01,0,0 0 0 90 0 0 0  25 20 0 0 NaN 111 61 70 111 61 70 111 61 70 111 61,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
18,1,15,ra_pip2_e_f,13,D2 PIP,10,6.1,0,0 0 0 90 0 0 0  25 20 0 0 10 NaN 27 10 11 27 10 11 27 10 11 27,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
25,1,15,ra_pip2_e_f,13,D2 PIP,80,5.16,0,0 0 0 90 0 0 0  25 20 0 0 40 NaN 15 40 81 15 40 81 15 40 81 15,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
28,1,15,ra_pip2_e_f,13,D2 PIP,110,2.73,0,0 0 0 90 0 0 0  25 20 0 0 70 NaN 61 70 111 61 70 111 61 70 111 61,Fowler et al. 2001. Method of determination of three dimensional index finger moment arms and tendon lines of action using high resolution MRI scans. Journal of Biomechanics.
