id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,11,ra_cmc1_f_e,8,D1 CMC F/E,0,-12.3,8.2,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
2,1,11,ra_cmc1_f_e,8,D1 CMC F/E,5,-12.6,6.3,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
3,1,11,ra_cmc1_f_e,8,D1 CMC F/E,10,-12.8,4.9,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
4,1,11,ra_cmc1_f_e,8,D1 CMC F/E,15,-12.9,4,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
5,1,11,ra_cmc1_f_e,8,D1 CMC F/E,20,-12.9,3.8,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
6,1,11,ra_cmc1_f_e,8,D1 CMC F/E,25,-12.9,3.9,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
7,1,11,ra_cmc1_f_e,8,D1 CMC F/E,30,-12.7,4.3,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
8,1,11,ra_cmc1_f_e,8,D1 CMC F/E,35,-12.5,4.7,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
9,1,11,ra_cmc1_f_e,8,D1 CMC F/E,40,-12.1,5.4,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
10,1,11,ra_cmc1_f_e,8,D1 CMC F/E,45,-11.9,5.3,0 0 0 90 0 0 0 NaN 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
11,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,40,-1.5,4.5,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
12,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,35,1.6,4.8,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
13,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,30,2.4,4.2,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
14,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,25,3.5,5.2,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
15,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,20,4.8,5,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
16,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,15,6.1,5,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
17,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,10,7.4,5.1,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
18,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,5,8.5,5.5,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
19,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,0,9.7,5.7,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
