id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-80,0.06,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
2,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-70,2.06,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
3,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-60,3.31,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
4,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-50,4.13,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
5,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-40,4.77,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
6,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-30,5.28,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
7,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-20,5.72,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
8,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-10,6.21,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
9,1,8,ra_wr_s_p,5,Wrist Pro/Sup,0,6.67,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
10,1,8,ra_wr_s_p,5,Wrist Pro/Sup,10,7.02,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
11,1,8,ra_wr_s_p,5,Wrist Pro/Sup,20,7.18,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
12,1,8,ra_wr_s_p,5,Wrist Pro/Sup,30,7.42,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
13,1,8,ra_wr_s_p,5,Wrist Pro/Sup,40,7.18,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
14,1,8,ra_wr_s_p,5,Wrist Pro/Sup,50,6.69,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
15,1,8,ra_wr_s_p,5,Wrist Pro/Sup,60,5.61,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
16,1,8,ra_wr_s_p,5,Wrist Pro/Sup,70,3.94,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
17,1,8,ra_wr_s_p,5,Wrist Pro/Sup,80,1.82,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
18,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-80,0.06,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
19,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-70,2.06,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
20,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-60,3.31,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
21,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-50,4.13,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
22,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-40,4.77,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
23,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-30,5.28,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
24,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-20,5.72,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
25,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-10,6.21,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
26,2,8,ra_wr_s_p,5,Wrist Pro/Sup,0,6.67,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
27,2,8,ra_wr_s_p,5,Wrist Pro/Sup,10,7.02,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
28,2,8,ra_wr_s_p,5,Wrist Pro/Sup,20,7.18,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
29,2,8,ra_wr_s_p,5,Wrist Pro/Sup,30,7.42,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
30,2,8,ra_wr_s_p,5,Wrist Pro/Sup,40,7.18,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
31,2,8,ra_wr_s_p,5,Wrist Pro/Sup,50,6.72,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
32,2,8,ra_wr_s_p,5,Wrist Pro/Sup,60,5.92,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
33,2,8,ra_wr_s_p,5,Wrist Pro/Sup,70,4.75,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
34,2,8,ra_wr_s_p,5,Wrist Pro/Sup,80,3.28,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
35,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-80,-0.56,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
36,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-70,1.44,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
37,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-60,2.66,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
38,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-50,3.66,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
39,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-40,4.43,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
40,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-30,5.14,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
41,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-20,5.86,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
