id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
1,1,8,ra_wr_s_p,5,Wrist Pro/Sup,76.83,3.91,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
2,1,8,ra_wr_s_p,5,Wrist Pro/Sup,70.24,5.46,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
3,1,8,ra_wr_s_p,5,Wrist Pro/Sup,63.24,6.73,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
4,1,8,ra_wr_s_p,5,Wrist Pro/Sup,56.36,7.69,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
5,1,8,ra_wr_s_p,5,Wrist Pro/Sup,49.46,8.21,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
6,1,8,ra_wr_s_p,5,Wrist Pro/Sup,42.53,8.55,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
7,1,8,ra_wr_s_p,5,Wrist Pro/Sup,35.61,8.68,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
8,1,8,ra_wr_s_p,5,Wrist Pro/Sup,28.68,8.55,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
9,1,8,ra_wr_s_p,5,Wrist Pro/Sup,21.75,8.12,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
10,1,8,ra_wr_s_p,5,Wrist Pro/Sup,14.83,7.61,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
11,1,8,ra_wr_s_p,5,Wrist Pro/Sup,7.9,6.92,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
12,1,8,ra_wr_s_p,5,Wrist Pro/Sup,0.97,5.87,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
13,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-5.95,4.99,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
14,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-12.88,4.07,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
15,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-19.81,3.18,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
16,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-26.73,2.27,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
17,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-33.66,1.44,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
18,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-40.59,0.82,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
19,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-47.52,0.33,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
20,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-54.44,-0.08,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
21,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-61.37,-0.29,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
22,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-68.3,-0.25,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
23,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-75.22,0.02,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
