idMuscle,sMuscle,sMuscleFullName,idCluster1,idCluster2,idCluster3,idCluster4,idCluster5,nLengthMin,nLengthMax,nLpass,nLpassPercent,bCoupled,idDOFList,idDOFList_used,nPCSA,nSpecificTension,nFmax,nFpass,bFingerFlexion,bFingerExtension,bWristFlexion,bWristExtension,bWristSupination,bWristPronation,bThumbFlexion,bThumbExtension,bThumbAbduction,bThumbAdduction,nScaler,nStatic,nGainIa,nGainIb,sCouplingGroups,nBeta,sMuscleOld,
     1,SUPSP,Supraspinatus,     0,     0,     0,     0,     0,  0.01,0.182322,0.139242,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,SSPI,
     2,INFSP,Infraspinatus,     0,     0,     0,     0,     0,  0.01,0.135532,0.104149,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,ISPI,
     3,SUBSC,Subscapularis,     0,     0,     0,     0,     0,0.0833364,0.229702,0.193111,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,SSCAP,
     4,TERMI,Teres Minor,     0,     0,     0,     0,     0,  0.01,0.329234,0.249426,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,TERMI,
     5,TERMA,Teres Major,     0,     0,     0,     0,     0,  0.01,0.333564,0.252673,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,TERMA,
     6,PECM_R,Pectoralis Major,     0,     0,     0,     0,     0,  0.01,0.158984,0.121738,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,PECM_R,
     7,PECM_M,Pectoralis Major,     0,     0,     0,     0,     0,0.151723,1.41237,1.09721,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,PECM_M,
     8,PECM_C,Pectoralis Major,     0,     0,     0,     0,     0,  0.01,0.270841,0.205631,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,PECM_C,
     9,LATD_R,Latissimus Dorsi,     0,     0,     0,     0,     0,0.215331,0.467038,0.404111,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,LATD_R,
    10,LATD_M,Latissimus Dorsi,     0,     0,     0,     0,     0,0.262797,0.770998,0.643948,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,LATD_M,
    11,LATD_C,Latissimus Dorsi,     0,     0,     0,     0,     0,  0.01,0.568725,0.429044,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,LATD_C,
    12,CORBR,Coracobrachialis,     0,     0,     0,     0,     0,0.0776495,0.265853,0.218802,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,CORBR,
    13,DELT_A,Deltoid (Anterior),     0,     0,     0,     0,     0,0.0645063,0.776657,0.598619,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,DELT_A,
    14,DELT_LAT,Deltoid (Lateral),     0,     0,     0,     0,     0,  0.01,0.379318,0.286988,  0.75,     0,26    27    28,26    27    28,     0,    35,   100,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,DELT_LAT,
    15,DELT_P,Deltoid (Posterior),     0,     0,     0,     0,     0,  0.01,0.395608,0.299206,  0.75,     0,26    27    28,26    27    28,     0,    35,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,DELT_P,
    16,TRI_LO,Triceps Brachii Long Head,     0,     0,     0,     0,     0,0.269585,0.412354,0.376662,  0.75,     0,26    27    28     29,29,     0,    35,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,TRI_LO,
    17,TRI_LAT,Triceps Brachii Lateral Head,     0,     0,     0,     0,     0,0.166615,0.270876,0.244811,  0.75,     0,29,29,     0,    35,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,TRI_LAT,
    18,TRI_M,Triceps Brachii Medial Head,     0,     0,     0,     0,     0,0.154063,0.202429,0.190337,  0.75,     0,29,29,     0,    35,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,TRI_M,
    19,ANC,Anconeus,     0,     0,     0,     0,     0,0.0413297,0.0613143,0.0563182,  0.75,     0,29,29,     0,    35,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,ANC,
    20,BIC_LO,Biceps Brachii Long Head,     1,     1,     1,     1,     1,0.334726,0.460267,0.447713,   0.9,     0,26    27    28     29     8,29     8,  3.12,    35, 109.2, 10.92,     0,     0,     0,     0,     1,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Wrist Sup,1.45813,BIC_LO,
    21,BIC_SH,Biceps Brachii Short Head,     1,     1,     1,     1,     1,0.257448,0.38068,0.368356,   0.9,     0,26    27    28     29     8,29     8,  3.12,    35, 109.2, 10.92,     0,     0,     0,     0,     1,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Wrist Sup,1.45813,BIC_SH,
    22,BR,Brachialis,     0,     0,     0,     0,     0,0.0890906,0.130449,0.126313,   0.9,     0,29     8,29    8,     0,    35,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,BR,
    23,BRR,Brachioradialis,     0,     0,     0,     0,     0,0.23139,0.37328,0.359091,   0.9,     0,29     8,29    8,     0,    35,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,   0.5,     0,   1.2,NA,     1,BRR,
    24,SUP,Supinator,     1,     1,     1,     1,     1,0.068988,0.0881937,0.0862731,   0.9,     0,8,8,   7.3,    35, 255.5, 25.55,     0,     0,     0,     0,     1,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Wrist Sup,1.45813,SUP,
    25,PT,Pronator Teres,     2,     2,     2,     2,     2,0.217735,0.237955,0.235933,   0.9,     0,29     8,8,   6.6,    35,   231,  23.1,     0,     0,     0,     0,     0,     1,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Wrist Pro,1.52762,PTER,
