idMuscle,sMuscle,sMuscleFullName,idCluster1,idCluster2,idCluster3,idCluster4,idCluster5,nLengthMin,nLengthMax,nLpass,nLpassPercent,bCoupled,idDOFList,idDOFList_used,nPCSA,nSpecificTension,nFmax,nFpass,bFingerFlexion,bFingerExtension,bWristFlexion,bWristExtension,bWristSupination,bWristPronation,bThumbFlexion,bThumbExtension,bThumbAbduction,bThumbAdduction,nScaler,nStatic,nGainIa,nGainIb,sCouplingGroups,nBeta,sMuscleOld
1,SUPSP,Supraspinatus,0,0,0,0,0,0.0589908,0.128497,0.111121,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,SSPI
2,INFSP,Infraspinatus,0,0,0,0,0,0.0622699,0.131475,0.114174,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,ISPI
3,SUBSC,Subscapularis,0,0,0,0,0,0.083869,0.137865,0.124366,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,SSCAP
4,TERMI,Teres Minor,0,0,0,0,0,0.0892453,0.30579,0.251654,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TERMI
5,TERMA,Teres Major,0,0,0,0,0,0.091631,0.266286,0.222623,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TERMA
6,PECM_R,Pectoralis Major,0,0,0,0,0,0.0676244,0.158984,0.136144,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,PECM_R
7,PECM_M,Pectoralis Major,0,0,0,0,0,0.1373,0.252564,0.223748,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,PECM_M
8,PECM_C,Pectoralis Major,0,0,0,0,0,0.16533,0.270474,0.244188,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,PECM_C
9,LATD_R,Latissimus Dorsi,0,0,0,0,0,0.223732,0.366775,0.331015,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,LATD_R
10,LATD_M,Latissimus Dorsi,0,0,0,0,0,0.263605,0.416705,0.37843,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,LATD_M
11,LATD_C,Latissimus Dorsi,0,0,0,0,0,0.295463,0.395075,0.370172,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,LATD_C
12,CORBR,Coracobrachialis,0,0,0,0,0,0.134458,0.243996,0.216612,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,CORBR
13,DELT_A,Deltoid (Anterior),0,0,0,0,0,0.142257,0.280953,0.246279,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,DELT_A
14,DELT_LAT,Deltoid (Lateral),0,0,0,0,0,0.100653,0.218315,0.188899,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,DELT_LAT
15,DELT_P,Deltoid (Posterior),0,0,0,0,0,0.0722227,0.330617,0.266019,0.75,0,26    27    28,26    27    28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,DELT_P
16,TRI_LO,Triceps Brachii Long Head,0,0,0,0,0,0.26958,0.317771,0.305723,0.75,0,26    27    28     29,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TRI_LO
17,TRI_LAT,Triceps Brachii Lateral Head,0,0,0,0,0,0.16661,0.214801,0.202753,0.75,0,29,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TRI_LAT
18,TRI_M,Triceps Brachii Medial Head,0,0,0,0,0,0.154238,0.202429,0.190381,0.75,0,29,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,TRI_M
19,ANC,Anconeus,0,0,0,0,0,0.0413297,0.0613141,0.056318,0.75,0,29,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,ANC
20,BIC_LO,Biceps Brachii Long Head,1,1,1,1,4,0.329084,0.460267,0.447149,0.9,0,26    27    28     29     8,29    8,3.12,35,109.2,10.92,0,0,0,0,1,0,0,0,0,0,1,0.5,0,1.2,Wrist Sup,1.50738,BIC_LO
21,BIC_SH,Biceps Brachii Short Head,1,1,1,1,4,0.248788,0.38068,0.36749,0.9,0,26    27    28     29     8,29    8,3.12,35,109.2,10.92,0,0,0,0,1,0,0,0,0,0,1,0.5,0,1.2,Wrist Sup,1.50738,BIC_SH
22,BR,Brachialis,0,0,0,0,0,0.0891089,0.130449,0.126315,0.9,0,29     8,29    8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,BR
23,BRR,Brachioradialis,0,0,0,0,0,0.231428,0.331819,0.32178,0.9,0,29     8,29    8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,NA,1,BRR
24,SUP,Supinator,1,1,1,1,4,0.068988,0.0881937,0.0862732,0.9,0,8,8,7.3,35,255.5,25.55,0,0,0,0,1,0,0,0,0,0,1,0.5,0,1.2,Wrist Sup,1.50738,SUP
25,PT,Pronator Teres,2,2,2,2,3,0.217735,0.237955,0.235933,0.9,0,29     8,8,6.6,35,231,23.1,0,0,0,0,0,1,0,0,0,0,1,0.5,0,1.2,Wrist Pro,1.52996,PTER
26,PQ,Pronator quadratus,2,2,2,2,3,0.0221434,0.0414597,0.0337332,0.6,0,8,8,3.5,35,122.5,12.25,0,0,0,0,0,1,0,0,0,0,1,0.5,0,1.2,Wrist Pro,1.52996,PQUAD
27,ECR_LO,Extensor Carpi Radialis Longus,3,3,3,3,3,0.316036,0.444811,0.431933,0.9,0,8     9    30,8     9,4,35,140,14,0,0,0,1,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Ext,1.42979,ECR_LO
28,ECR_BR,Extensor Carpi Radialis Brevis,3,3,3,3,3,0.315064,0.352188,0.348476,0.9,0,8     9    30,8     9,4.9,35,171.5,17.15,0,0,0,1,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Ext,1.42979,ECR_BR
29,ECU,Extensor Carpi Ulnaris,3,3,3,3,3,0.318472,0.336444,0.334647,0.899999,0,29     8     9    30,8     9,3.5,35,122.5,12.25,0,0,0,1,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Ext,1.42979,ECU
30,FCR,Flexor Carpi Radialis,4,4,4,4,4,0.287388,0.337623,0.332599,0.9,0,8     9    30,8     9,5.2,35,182,18.2,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Flex,0.516032,FCR
31,FCU,Flexor Carpi Ulnaris,4,4,4,4,4,0.294839,0.899266,0.838823,0.9,0,8     9    30,8     9,10,35,350,35,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Flex,0.516032,FCU
32,PL,Palmaris Longus,4,4,4,4,4,0.303226,0.358955,0.353382,0.9,0,8     9    30,8     9,1.5,35,52.5,5.25,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1.2,Wrist Flex,0.516032,PALL
33,FDS5,Flexor Digitorum superficialis (pinky finger),5,5,5,5,4,0.312369,0.371185,0.365303,0.9,0,8     9    30    23    24,9    23    24,2.1,35,73.5,7.35,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,1.02917,FDS5
34,FDS4,Flexor digitorum superficialis (ring finger),6,5,5,5,4,0.326811,0.387349,0.381295,0.9,0,8     9    30    20    21,9    20    21,2.4,35,84,8.4,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,0.893824,FDS4
35,FDS3,Flexor digitorum superficialis (middle finger),7,5,5,5,4,0.335538,0.399579,0.393175,0.9,0,8     9    30    17     18,9    17     18,4.2,35,147,14.7,1,0,0,0,0,0,0,0,0,0,1,0.5,0,1.2,Last 3 Finger Flex,0.97557,FDS3
